CMDLINE /home/cataluna84/anaconda3/envs/hpp/bin/python julia1_memoryprofiler.py
MEM 5.191406 1600340143.7149
MEM 14.394531 1600340143.8153
MEM 22.812500 1600340143.9158
MEM 31.554688 1600340144.0163
MEM 37.542969 1600340144.1168
MEM 49.804688 1600340144.2172
MEM 63.781250 1600340144.3177
MEM 80.156250 1600340144.4181
MEM 95.289062 1600340144.5186
MEM 101.585938 1600340144.6191
MEM 107.925781 1600340144.7195
MEM 114.164062 1600340144.8200
MEM 122.976562 1600340144.9205
MEM 122.976562 1600340145.0209
MEM 122.976562 1600340145.1214
MEM 122.976562 1600340145.2220
MEM 122.976562 1600340145.3225
MEM 123.222656 1600340145.4230
MEM 123.222656 1600340145.5235
MEM 123.222656 1600340145.6239
MEM 123.222656 1600340145.7243
MEM 123.222656 1600340145.8249
MEM 123.222656 1600340145.9257
MEM 123.222656 1600340146.0261
MEM 123.222656 1600340146.1267
MEM 123.472656 1600340146.2271
MEM 123.472656 1600340146.3276
MEM 123.472656 1600340146.4281
MEM 123.472656 1600340146.5287
MEM 123.472656 1600340146.6292
MEM 123.472656 1600340146.7297
MEM 123.472656 1600340146.8303
MEM 123.722656 1600340146.9308
MEM 123.722656 1600340147.0312
MEM 123.722656 1600340147.1317
MEM 123.722656 1600340147.2322
MEM 123.722656 1600340147.3326
MEM 123.722656 1600340147.4330
MEM 123.722656 1600340147.5335
MEM 123.722656 1600340147.6341
MEM 123.972656 1600340147.7345
MEM 123.972656 1600340147.8350
MEM 123.972656 1600340147.9356
MEM 123.972656 1600340148.0361
MEM 123.972656 1600340148.1366
MEM 123.972656 1600340148.2371
MEM 123.972656 1600340148.3377
MEM 124.222656 1600340148.4382
MEM 124.222656 1600340148.5387
MEM 124.222656 1600340148.6391
MEM 124.222656 1600340148.7396
MEM 124.222656 1600340148.8409
MEM 124.222656 1600340148.9414
MEM 124.222656 1600340149.0419
MEM 124.222656 1600340149.1424
MEM 124.472656 1600340149.2429
MEM 124.472656 1600340149.3433
MEM 124.472656 1600340149.4437
MEM 124.472656 1600340149.5442
MEM 124.472656 1600340149.6447
MEM 124.472656 1600340149.7453
MEM 124.472656 1600340149.8457
MEM 124.722656 1600340149.9462
MEM 124.722656 1600340150.0467
MEM 124.722656 1600340150.1472
MEM 124.722656 1600340150.2477
MEM 124.722656 1600340150.3482
MEM 124.722656 1600340150.4487
MEM 124.722656 1600340150.5491
MEM 124.972656 1600340150.6495
MEM 124.972656 1600340150.7500
MEM 124.972656 1600340150.8504
MEM 124.972656 1600340150.9508
MEM 124.972656 1600340151.0513
MEM 124.972656 1600340151.1518
MEM 124.972656 1600340151.2522
MEM 125.222656 1600340151.3527
MEM 125.222656 1600340151.4532
MEM 125.222656 1600340151.5536
MEM 125.222656 1600340151.6542
MEM 125.222656 1600340151.7547
MEM 125.222656 1600340151.8552
MEM 125.222656 1600340151.9556
MEM 125.222656 1600340152.0562
MEM 125.472656 1600340152.1566
MEM 125.472656 1600340152.2571
MEM 125.472656 1600340152.3575
MEM 125.472656 1600340152.4581
MEM 125.472656 1600340152.5586
MEM 125.472656 1600340152.6592
MEM 125.472656 1600340152.7596
MEM 125.722656 1600340152.8601
MEM 125.722656 1600340152.9606
MEM 125.722656 1600340153.0611
MEM 125.722656 1600340153.1616
MEM 125.722656 1600340153.2623
MEM 125.722656 1600340153.3628
MEM 125.722656 1600340153.4633
MEM 125.722656 1600340153.5638
MEM 125.972656 1600340153.6642
MEM 125.972656 1600340153.7649
MEM 125.972656 1600340153.8653
MEM 125.972656 1600340153.9662
MEM 125.972656 1600340154.0667
MEM 125.972656 1600340154.1674
MEM 125.972656 1600340154.2679
MEM 125.972656 1600340154.3684
MEM 125.972656 1600340154.4689
MEM 125.972656 1600340154.5693
MEM 38.324219 1600340154.6698
